metric,raw_count,corrected_count,explanation
low_thrust_margin,225,225,raw mission-solver all-segment low-thrust count compared with corrected all-segment count
approach_only_corrected_low_thrust_margin,225,121,approach_landing low-thrust count using V0.2-04S descending force balance only
corrected_all_segment_low_thrust_margin,225,225,all-segment low-thrust count after replacing approach_landing with V0.2-04S descending force balance
approach_only_model_sensitive,225,104,raw approach-limited low-thrust cases cleared by approach-only correction
sizing_or_schedule_low_thrust,225,225,cases where all-segment corrected low thrust remains after approach correction
unmet_electric_load,69,69,hybrid electric load shortfall is preserved and not changed by approach correction
mtow_exceeded,67,67,cases above the configured MTOW upper bound
feasible_basic_raw,0,0,basic screen count using raw all-segment constraints compared with corrected all-segment constraints
feasible_basic_approach_corrected,0,92,basic screen count using approach-only corrected low-thrust classification
feasible_basic_all_segment_corrected,0,0,basic screen count using corrected all-segment low-thrust classification
